student_id,baseline,cf,hybrid,logreg,hybrid_minus_baseline
S026,0.5307212739772434,0.7653606369886217,1.0,0.7653606369886217,0.46927872602275655
S059,0.5307212739772434,1.0,1.0,1.0,0.46927872602275655
S027,0.7653606369886217,1.0,1.0,1.0,0.23463936301137833
S024,0.7653606369886217,0.7653606369886217,1.0,0.7653606369886217,0.23463936301137833
S025,0.2960819109658652,0.7039180890341347,0.5307212739772434,0.2960819109658652,0.23463936301137822
S000,0.5307212739772434,1.0,0.7653606369886217,0.7039180890341347,0.23463936301137822
S031,0.2346393630113782,0.2960819109658652,0.4692787260227564,0.4692787260227564,0.2346393630113782
S010,0.0,0.0,0.2346393630113782,0.2346393630113782,0.2346393630113782
S039,0.5307212739772434,0.4692787260227564,0.7039180890341347,0.7653606369886217,0.17319681505689122
S051,0.5307212739772434,1.0,0.7039180890341347,0.5307212739772434,0.17319681505689122
